filename,course,semester,exam_type,year,text_preview
B.Sc. IT (CS) SEM-3- Nov-Dec 2023 (Regular).pdf,B.Sc. IT,3,Regular,2023,"llrirolhncnt No
GAi{PAT U1\IVtrRSITY
B.Sc.IT(Cybel Sccurity) - ffl (CBCS)
RegLrlar- Nov.-De c. 2023
tJ63A1 LOS: I-INLTX S Ellvtii{ OPERATING SYSTEM
Total: 60 Marks 'f inrc: 3 irIours
Instructions:
1. liigr-rrcs to the right iriclicate lirll rnarlis"" Course Outcotnes ancl IIL Pattet'n Lcve1.
2. I'his Question paper has two seotions. l:ach section sltoulcl be rvritteu iu a scltarate
iulswcr booIi.
3. Section-l consist of 07 c1r-rcstions ol'6 rnarlts each with options respectively. Section-il
consi"
B.Sc. IT (CS) SEM-5- Nov-Dec 2023 (Regular).pdf,B.Sc. IT,5,Regular,2023,"GANPA'i' Lll""l.i.\/ UH.5t I Y
BSc I1' (C1'1',.,' 5ii:cLtrill'.) - V (CBCiS)
I{cgr-rI ar'/l{crnccl iI I - N ot'.- L)cc . 2A23
U65AIMAS - N4obilc Applicatiorr rtttcl Sccttritl'l')rrolllreLrl lrlo
Time: 3 Llottls'l'ota[: (r0 lvlaL'l<s
lns tru ctio tts :
L Iignr.cs to tLte r.iglri inrlicrtc lirll tlall<s, (!rutse Ottlcorncs arltl ].]l- l)attcrn l-cVcl
2. This QuesLion ltapc| has t\;O SCoLiOLIS. llaclt scctiotl shotrltl bc rvri(tctt itt 1r;cl)ilrrte
""11111,g1 boql;.
3. Sectio,-l colsist o1 07 clrrcst"
B.Sc. IT (DS) SEM-1- Nov-Dec 2023 (Regular).pdf,B.Sc. IT,1,Regular,2023,"Enrollment No.\3
GANPAT UNIVERSITY
B.Sc.IT(DS) - I (CBCS)
Re8lrlarRerntidial - Nov'-De c' 2023
U7 lAlIPl : INTRODUCTION TO PROGRAMMING.I
Total: 60 MarksTime: 3 Hours
Instructions:
a1.
2.
4.
5.
6.Figures to the right indicate fullmarks, Course Outcomes and BL Pattern Level'
This euestion paper has two sections. Each section should be written in a. separate
answer book.
Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il
consist of 03 questions, Question 2 of 12"
B.Sc. IT (DS) SEM-3- Nov-Dec 2023 (Regular).pdf,B.Sc. IT,3,Regular,2023,"GANPAT UI\IVERSITY
B.Sc.IT(DS)- SEM-III EXAI\4INATION (CBCS)
Regular- Nov.-Dec . 2023
U73A1DS : DATA STRUCTTIRE
Time:3 Hours Total: 60 Marks
Instructions:
1. Figures to the right indicate full marks, Course Outcomes and BL Pattern Level.
2. This Question paper has two sections. Each section should be written in a separate
answer book.
3. Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il
consist of 03 questions, Questiott 2 of 12 Marks, Question 3 of 12 Marks"
B.Sc. IT (DS) SEM-5- Nov-Dec 2023 (Regular).pdf,B.Sc. IT,5,Regular,2023,"3
Enrollment No.
Time: 3 Hours
Instructions:Total: 60 MarksGANPAT UI{IVERSITY
B.Sc.Ir(DS) - V (CBCS)
Regular - Nov - Dec 2023
U75A 1 PYT Python Programming
1. Figures to the right indicate full marks, Course Outcomes and BL Pattern Level.
2. This Question paper has two sections. Each section should be written in a separate
answer book.
3. Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il
consist of 03 questions, Question 2 of 12 Marks, Question 3 of 12 Marks"
BCA SEM-2- Jan-Jun 2023.pdf,BCA,2,Regular,2023,"Time 3 Hvurs 
Instructias: 
Q2 
A Ex2. 
Cong GANPAT UVIVERSITY 
DDBCA-MCA SEM-II EXAMIN ATION 
Dissshe Ans#er tbe follomIn2: 1Any Fre April-June 2023 
L52B5CS2 -Comm Lat Sa-! 
Do 25 directed: SECTIO.J 
Answer the following: (Any Two) 
Write synonyms for the word SECTION-II 
VENOMOLS 
OR 
#rite antonym for the word : CRLEL 
Write a word using the prefin: i 
OR 
Write a word using the prefix : auto 
Write a word using the suffix : -i0n 
OR 
Write a word using the suffiI :-155 
Write a sentence usi"
BCA -MCA SEM-4- Jan-Jun 2020.pdf,MCA,4,Regular,2020,"1. 
4. Time: 3 Hours) 
Instruetions: 
5. 3. 2 1) 
2) 
3) 
4) 
5) 
6 
7) 
8) 
1) 
2) 
3) 
1) 
2) 
1) 
2) 
3) 
1 ) 
2) GANPAT UNIVERSITY 
DD(BCA-MCA) Sem-IV EXAMINATION (CBCS) 
U54A1DT2: Application Pevelopment Tool-II 
April -June 2023 
1. Figures to the right indicate full marks 
2. Be precise and to the point in your answer 
Answer the following: (Any Six) 
Write a short note on: WordPress Framework 
Explain the process of WordPress installation in your local machine. 
What are the difference b"
M.Sc.IT (AI&ML) SEM-2 Jan-Jun 2023.pdf,Unknown,2,Regular,2023,"Time: 3 Hrs. 
).1 I. Figures to the right indicate full marks. 
2. Be precise and to the point in your answer 
1) 
2) 
3) 
6) 
7) 
8) 
Q.2 4) Discuss advantages and disadvantages Data Visualization. 
1) 
2) 
3) 5) Explain the Steps to connect MySÌL database in Python using MySQL. Connector with 
programming code. 
Q.3 
1) 
2) 
3) 
Q.4 GANPAT UNNIVERSITY 
1) M.Sc.[T(AI&ML) Sem-II Regular EXAMINATION 
P82A 1PYT2 -PYTHON PROGRAMMING-2 
April -June 2023 
2) Answer the following (Questions. (Any Five"
M.Sc. IMS SEM-2 Jan-Jun 2020.pdf,M.Sc. IMS,2,Regular,2020,"Seat No.
GANPAT UNNIVERSITY
M.Sc. IT (IMS) SEM - II REGULAR EXAMINATION (CBCS)
P42A5EL3- Elective- III (Certified Ethical Hacking)
TIME:3 HTS.I JANUARY - JUNE 2O2O
Instructions:l. Figures to the right indicate full marks
2. Be precise and to thc point in your answer
Q-1. Answer the following Questions. (Any Six)
l. What does Hacker mean'J Explain the types of Hacker.
2. Describe Malware Detection Techniques in brief.
3. Explain the types ofSocial Engineering Attack.
4. Describe port scanning in "
M.Sc. IMS SEM-2 Jan-Jun 2023.pdf,M.Sc. IMS,2,Regular,2023,"TIME: 3 Hrs.] 
Instructions: 
1. 
2 
3 Q-1. Answer the following Questions. (Any Five) 
4. 
5 
6. 
7. GANPAT UNIVERSITY 
M.Sc. IT (IMS) SEM -II REGULAR EXAMINATION (CBCS) 
P42A4EL2: Eleetive II -(Concepts of open source seripting Languages) 
April -June 2023 
1. Figures to the right indicate full marks 
2 2. Be precise and to the point in your answer 
1 Explain the DDL statements in MYSQL. Explain the TAG, ATTRIBUTE and VALUE with proper example. 
Write a short note on PHP. 
Write a short note o"
M.Sc. IT SEM-2- Jan-Jun 2023.pdf,M.Sc. IT,2,Regular,2023,"Time: 3 Hours] 
Instructions: 
1. 
2. 
3. 
4. 
5. A. 
B. 
C. 
D. 
E. 
F. 
G. 
H. 
A. 
A. B 
A B 
C. 
B 
A. 1. 
2. 
C. GANPAT UNIVERSITY 
M.Sc.(IT) SEM-II EXAMINATION 
P42A4DAV: DATA ANALYSIS AND VISUALIZATION 
April -June 2023 
Figures to the right indicate full marks 
Be precise and to the point in your answer 
Answer the following: (ANY SIX OUT OF EIGHT) 
Give the difference between SÌL vs NoSQL. What is MongoDB? Discuss the advantages of MongoDB in brief. 
How to Insert and Delete Document in"
M.Sc. IT (CYBER SECURITY) SEM-1- Nov-Dec 2023 (Regular).pdf,B.Sc. IT (CS),1,Regular,2023,",x
Enrollment No. i
GANPAT UNIVERSITY
M.Sc.rr(cs)- sEM-r EXAMTNATTON (CBCS)
RegularRemedial- Nov.-D ec. 2023
P71A1DSF' : DIGITAL SECURITY AND FORENSIC FUNDAMENTAL
Time: 3 Hours Total: 60 Marks
Instructions:
1. Figures to the right indicate full marks, Course Outcomes and BL Pattern Level.
2. This Question paper has two sections. Each section should be written in a separate
answer book.
3. Section-I consist of 07 questions of 6 marks each with options respectively. Section-Il
consist of 03 questi"
M.Sc. IT  (CS) SEM-3- Nov-Dec 2023 (Regular).pdf,B.Sc. IT (CS),3,Regular,2023,"EnrollmentNo. g
GANPAT UNIVERSITY
M.Sc.ITICSF SEM-III EXAMINATION (CBCS)
Regular- Nov.-D ec. 2023
P73A1MTA : MALWARE TAXANOMY AND ANALYSIS
Time: 3 Hours Total: 60 Marks
Instructions:
1. Figures to the right indicate full marks, Course Outcomes and BL Pattern Level.
2. This Question paper has two sections. Each section should be written in a separate
answer book.
3. Section-I consist of 07 questions of 6 marks each with options respectively.'section-Il
consist of 03 questions, Question 2 of 12 Ma"
MCA-I Sem Jul-Dec 2017 (Regular).pdf,MCA,1,Regular,2017,"P11A1ADP: ALGORITHM DEVELOPMENT & INTRODUCTION ToEnrollment No.
GAI'{PAT UI{IVERSITY
M.C.A. SEM-I EXAMINATION (CBCS)
PROGRAMMING
lJul- Dec 2019 /nJ otr .tT)6c- 
'.0\3
[Total Marks: 60
(1 1)
(ll).Time: 3 Hoursl
Instructions:
1. Figures to the right indicate full marks
2. Eih section should be written in a separate answer book
3. Be precise and to the point in your answer
SECTION.I
1. Answer the following.
(i)Explaintlredifferencebetweencompilerandlnterpreter
(ii) What is C Tokens?
(iii) Write out"
MCA-I Sem Nov-Dec 2017 (Regular).pdf,MCA,1,Regular,2017,"Seat No
GANPAT UNIVERSITY
MCA SEMESTER-r EXAMTNATTON (CBCS)
P11A1ADP: Algorithm Development and Introduction to
Programming
'i-i: r""-
Nov-.Dsc 20i7
..-''
1.Time: 3 Hours]
Instructions:
the reason.
doubles, n1*n2(C) Differentiate increment Vs decrement operator.(D) Explain Goto statement in brief.
2, Answer the following questions. (Any Two )(A) Explain the features of 'C' language,(B) Explain the data types available in C la:guage(C) Explain the logical operators ra;iih ti::xample.
3. Answer the"
MCA-I Sem Nov-Dec 2019 (Regular).pdf,MCA,1,Regular,2019,"P11A1ADP: ALGORITHM DEVELOPMENT & INTRODUCTION ToEnrollment No.
GAI'{PAT UI{IVERSITY
M.C.A. SEM-I EXAMINATION (CBCS)
PROGRAMMING
lJul- Dec 2019 /nJ otr .tT)6c- 
'.0\3
[Total Marks: 60
(1 1)
(ll).Time: 3 Hoursl
Instructions:
1. Figures to the right indicate full marks
2. Eih section should be written in a separate answer book
3. Be precise and to the point in your answer
SECTION.I
1. Answer the following.
(i)Explaintlredifferencebetweencompilerandlnterpreter
(ii) What is C Tokens?
(iii) Write out"
MCA-I Sem Nov-Dec 2023 (Regular).pdf,MCA,1,Regular,2023,"Enrollment No.
GAI{PAT UNIVERSITY
M.C.A. - r (CBCS)
Regular Nov-De c 2023
P 1 1A1 JP: JAVA PROGRAMMING
Time: 3 Hours Total: 60 Marks
Instructions:
1. Figures to the right indicate ful1marks, Course Outcomes and BL Pattem Level.2. This Question paper has two sections. Each section should be written in a separate
answer book.
3. Section I consist of 03 question, Question I of 8 Marks, Question 2 of 11 Marks and
Question 3 of 11 Marks with options respectively. Section II consist of 03 question,
Qu"
