course,semester,subject_code,subject_name
BSC-IT(IMS),3,U43A1IIM,Internetwork Implementation & Maintenance
BSC-IT(IMS),3,U43A2SNM1,Server Network Infrastructure Management -I
BSC-IT(IMS),3,U43B3FLS,Fundamentals of Linux and Shell Scripting
BSC-IT(IMS),3,U43C4IPP,Introduction to Python Programming
BSC-IT(IMS),3,U43D5ES1,Employability Skills-I
BSC-IT(IMS),3,U43E6IWT,Introduction to Wireless Technology
BSC-IT(IMS),3,U43G7PMB,Principles of Management -Bhagavad Gita
BSC-IT(IMS),4,U44A1FER,Fundamentals Enterprise Routing
BSC-IT(IMS),4,U44A2SNM2,Server Network Infrastructure Management - II
BSC-IT(IMS),4,U44B3IJP,Introduction to Java Programming
BSC-IT(IMS),4,U44C4IAI,Introduction to Artificial Intelligence
BSC-IT(IMS),4,U44D5ES2,Employability Skills-II
BSC-IT(IMS),4,U44E6IOT,Introduction to IoT Scripting
BSC-IT(IMS),4,U44F7ES,Entrepreneurship
BSC-IT(IMS),5,U45A1VT,VIRTUALIZATION TECHNOLOGIES
BSC-IT(IMS),5,U45A2NFA,NETWORK FIREWALL ADMINISTRATION
BSC-IT(IMS),5,U45A3IML,INTRODUCTION TO MACHINE LEARNING
BSC-IT(IMS),5,U45A4FPN,FUNDAMENTALS OF PYTHON NETWORKING
BSC-IT(IMS),5,U45A5AWT3,ADVANCED WEB TECHNOLOGY-III
BSC-IT(IMS),5,U45A6DM,DATABASE MANAGEMENT
BSC-IT(IMS),6,U46A1IP3,Industrial Project - II
MCA,1,P11A1JP,JAVA PROGRAMMING- 2024
MCA,1,P11A2PP,PYTHON PROGRAMMING- 2024
MCA,1,P11A3DMS,DATABASE MANAGEMENT SYSTEM- 2024
MCA,1,P11A4FM,FOUNDATIONS OF MATHEMATICS- 2024
MCA,1,P11A5LFN,LINUX FUNDAMENTAL WITH NETWORKING - 2024
MCA,1,P11A6ADP,ALGORITHMS AND LOGIC DEVELOPMENT
MCA,1,P11A7WDD,WEB DESIGNING AND DATABASE
MCA,1,P11A8CFN,COMPUTER FUNDAMENTALS AND NETWORKING
MCA,2,P12A1FMA,FUNDAMENTAL OF MOBILE APPLICATION - 2024
MCA,2,P12A2WTD,WEB TECHNOLOGY USING .NET - 2024
MCA,2,P12A3SE,SOFTWARE ENGINEERING - 2024
MCA,2,P12A4IOT,BASICS OF IOT AND AUTOMATION - 2024
MCA,2,P12A4FST,FUNDAMENTAL OF SOFTWARE TESTING - 2024
MCA,2,P12A4ML1,MACHINE LEARNING-I - 2024
MCA,2,P12A5STA,SOFTWARE TESTING AUTOMATION - 2024
MCA,2,P12A5AIR,ARTIFICIAL INTELLIGENCE AND ROBOTICS - 2024
MCA,3,P13A1ADM,ADVANCED DATABASE MANAGEMENT SYSTEM - 2024
MCA,3,P13A2WTD,WEB TECHNOLOGIES DEVELOPMENT USING PHP - 2024
MCA,3,P13A3DOP,DEVOPS - 2024
MCA,3,P13A4TAR,TESTING AND AUTOMATION REST API - 2024
MCA,3,P13A4WTD,WEB TECHNOLOGIES DEVELOPMENT USING SPRING - 2024
MCA,3,P13A4IOS,IOS APPLICATION DEVELOPMENT - 2024
MCA,3,P13A4DAA,DESIGN AND ANALYSIS OF ALGORITHMS - 2024
MCA,4,P14A1SDP2,SYSTEM DEVELOPMENT PROJECT – II - 2024
MSC(It),1,P41A1AI,Artificial Intelligence
MSC(It),1,P41A2WD1,Web Designing - I
MSC(It),1,P41A3AWP1,Advance Web Programming - I
MSC(It),1,P41A4JP1,Elective-1) Java Programming Techniques-I
MSC(It),1,P41A4AT1,(Elective-1) Advance Technology – I (.Net)
MSC(It),1,P41A4IDA,Introduction to Data Analytics
MSC(It),2,P42A1UML,Unified Modeling Language
MSC(It),2,P42A2WD2,Web Designing-II
MSC(It),2,P42A3DAT,(Elective-II) Data Analytics Using Tools
MSC(It),2,P42A3WP2,Advance Web Programming – II
MSC(It),2,P42A3AT2,(Elective-II) Advance Technology II(.Net)
MSC(It),2,P42A3JP2,(Elective-II) Java Programming Techniques -II
MSC(It),2,P42A3CS,(Elective-II) Cyber Security
MSC(It),2,P42A4DAV,(Elective-III) Data Analysis And Visualization
MSC(It),2,P42A4DMM,(Elective-III) Digital Media Marketing
MSC(It),2,P42A4EC,Elective-III) Ecommerce Technology
MSC(It),2,P42A4AAD,(Elective-III) Android Application Development
MSC(It),2,P42A4IAD,(Elective-III) IPhone Application Development
MSC(It),2,P42A4CS1,Elective-III) Cyber Security-I
MSC(It),2,P43A1AT3,(Elective-IV) Advance Technology-III
MSC(It),2,P43A1AIAD,""" Elective-IV) Advance IPhone Application Development"""
MSC(It),2,P43A1BDA,(Elective-IV) Big Data Analytics
MSC(It),2,P43A1CS2,Elective-IV) Cyber Security-II
MSC(It),2,P43A1JP3,Elective-IV) Java Programming Techniques -III
MSC(It),2,P43A2AAAD,(Elective-V) Advance Android Application Development
MSC(It),2,P43A2WP3,(Elective-V) Advance Web Programming – III
MSC(It),2,P43A2ICIT,(Elective-V) Introduction to Cloud Infrastructure Technologies
MSC(It),2,P43A2SEO,(Elective-V) Introduction to Search Engine Optimization
MSC(It),2,P43A2IOT,(Elective-V) Internet of Things (IOT)
MSC(It),2,P43A2NTP,(Elective-V) Network Programming
MSC(It),2,P43B3CPD,Career & Personality Development
MSC(It),2,P43A4PRD,PROJECT DISSERTATION
MSC(It),4,P44A1PRJ,INDUSTRIAL PROJECT
MSC-IT(AIML),1,P81A1PYT,PYTHON PROGRAMMING
MSC-IT(AIML),1,P81A2BDS,BASICS OF DATA SCIENCE
MSC-IT(AIML),1,P81A3ML1,MACHINE LEARNING-I
MSC-IT(AIML),1,P81B4AI,ARTIFICIAL INTELLIGENCE
MSC-IT(AIML),2,P82A1IRP,INTRODUCTION TO R PROGRAMMING
MSC-IT(AIML),2,P82A2DAT,DATA ANALYTICS USING TOOLS
MSC-IT(AIML),2,P82A3ML2,MACHINE LEARNING-II
MSC-IT(AIML),2,P82B4RM,RESEARCH METHODOLOGY
MSC-IT(AIML),3,P83A1NLP,NATURAL LANGUAGE PROCESSING
MSC-IT(AIML),3,P83A2GAI,GENERATIVE ARTIFICIAL INTELLIGENCE
MSC-IT(AIML),3,P83A3RDL,REINFORCEMENT LEARNING & DEEP LEARNING
MSC-IT(AIML),3,P83A3BDA,BiGDATA ANALYTICS
MSC-IT(AIML),3,P83A4PD,PROJECT DISSERTATION
MSC-IT(AIML),4,P84A1IPD,INDUSTRIAL PROJECT DISSERTATION
MSC-IT(CS),1,P71A1DSF,DIGITAL SECURITY AND FORENSIC FUNDAMENTAL
MSC-IT(CS),1,P71A2ATD,APPLICATION THREAT DETECTION
MSC-IT(CS),1,P71A3LF,LINUX FUNDAMENTALS
MSC-IT(CS),1,P71B4CLI,CYBER LAW AND INDIAN IT ACT
MSC-IT(CS),2,P72A1PP,PYTHON PROGRAMMING
MSC-IT(CS),2,P72A2CF,CYBER FORENSIC-I
MSC-IT(CS),2,P72A3WP,WEB PENTESTING
MSC-IT(CS),2,P72B4CN,COMPUTER NETWORK OPERATION
MSC-IT(CS),3,P73A1MTA,MALWARE TAXONOMY AND ANALYSIS
MSC-IT(CS),3,P73A2MDS,MOBILE DEVICE SECURITY AND FORENSIC
MSC-IT(CS),3,P73A3NF,NETWORK FORENSIC
MSC-IT(CS),3,P73A4IP1,INDUSTRIAL PROJECT – I
MSC-IT(CS),3,P73B5ISC,INFORMATION SECURITY COMPLIANCE MANAGEMENT
MSC-IT(CS),4,P74A1IP2,INDUSTRIAL PROJECT – II
MSC-IT(IMS),1,P41A1FOS,FUNDAMENTALS OF OPERATING SYSTEM
MSC-IT(IMS),1,P41A2ICS,Introduction To Cyber Security
MSC-IT(IMS),1,P41A3ANP,Architecture Of Network Planning
MSC-IT(IMS),1,P41A4IPP,Introduction of Python Programming
MSC-IT(IMS),1,P41A5EL1,Elective I – ( Fundamental of Hardware And Network)
MSC-IT(IMS),1,P41A6IP1,Industrial Project- I
